cell_id,Area,Channel,IntDen,RawIntDen,time,condition,repeat_exp,mock_bg_den,sub_RawIntDen,sm_mean_int,RNA_count,ImgeJ_cal_factor
CoV-FISH-06B_R1_24h_INF_00003_13,531.085,gRNA,2927964.947,251720466,24,Untreated,R1,14383.340982982052,244081689.354053,5186.933333333333,1646996.1301588328,35
CoV-FISH-06B_R1_24h_INF_00003_17,993.392,gRNA,482752.573,41502786,24,Untreated,R1,14383.340982982052,27214490.134233493,5186.933333333333,183635.8968751296,35
CoV-FISH-06B_R1_24h_INF_00003_19,1003.209,gRNA,708541.581,60914123,24,Untreated,R1,14383.340982982052,46484625.87580356,5186.933333333333,313665.4745873846,35
CoV-FISH-06B_R1_24h_INF_00003_21,306.638,gRNA,2267353.244,194926929,24,Untreated,R1,14383.340982982052,190516450.0876603,5186.933333333333,1285552.6232073114,35
CoV-FISH-06B_R1_24h_INF_00003_25,814.331,gRNA,2538493.812,218237191,24,Untreated,R1,14383.340982982052,206524390.55398723,5186.933333333333,1393569.8041340201,35
CoV-FISH-06B_R1_24h_INF_00003_27,284.13,gRNA,476908.995,41000407,24,Untreated,R1,14383.340982982052,36913668.32650531,5186.933333333333,249083.28455368988,35
CoV-FISH-06B_R1_24h_INF_00003_2,893.393,ORFN,166925.32,14350759,24,Untreated,R1,11068.976472595466,4461812.902218519,5448.466666666666,28661.908226959546,35
CoV-FISH-06B_R1_24h_INF_00003_4,272.324,ORFN,37412.604,3216404,24,Untreated,R1,11068.976472595466,202056.05107691183,5448.466666666666,1297.9728463711958,35
CoV-FISH-06B_R1_24h_INF_00003_6,1035.371,ORFN,1694467.151,145675262,24,Untreated,R1,11068.976472595466,134214764.76059236,5448.466666666666,862172.2502882889,35
CoV-FISH-06B_R1_24h_INF_00003_8,196.066,ORFN,5790120.246,497783202,24,Untreated,R1,11068.976472595466,495612952.0589241,5448.466666666666,3183731.200593869,35
CoV-FISH-06B_R1_24h_INF_00003_10,753.811,ORFN,1197515.079,102951729,24,Untreated,R1,11068.976472595466,94607812.77621634,5448.466666666666,607744.095678461,35
CoV-FISH-06B_R1_24h_INF_00003_12,1381.801,ORFN,3745596.237,322013155,24,Untreated,R1,11068.976472595466,306718032.2411911,5448.466666666666,1970303.166965939,35
CoV-FISH-06B_R1_24h_INF_00003_14,353.607,ORFN,7428275.425,638617260,24,Untreated,R1,11068.976472595466,634703192.4364549,5448.466666666666,4077222.656271964,35
CoV-FISH-06B_R1_24h_INF_00003_16,1395.736,ORFN,248758.311,21386034,24,Untreated,R1,11068.976472595466,5936665.054045493,5448.466666666666,38136.10132971826,35
CoV-FISH-06B_R1_24h_INF_00003_18,335.403,ORFN,3765069.006,323687251,24,Untreated,R1,11068.976472595466,319974683.08416206,5448.466666666666,2055461.580862935,35
