cell_id,time.adj,dsRNA_density,condition,repeat_exp
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,1.287073678,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,1.741623466,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,0.703107076,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,1.129638751,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,1.793925163,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,1.052365177,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_8,6,0.873715647,INF,R3
INF_4h_224_C4_outline_TS_detect_AUTO_350.txt_Cell_9,6,1.342312648,INF,R3
MOCK_0h_Cell_01,2,0.957889327,MOCK,R1
MOCK_0h_Cell_02,2,1.074943998,MOCK,R1
MOCK_0h_Cell_03,2,0.845764452,MOCK,R1
MOCK_0h_Cell_04,2,1.183138018,MOCK,R1
MOCK_0h_Cell_05,2,0.880597924,MOCK,R1
MOCK_0h_Cell_06,2,0.767912885,MOCK,R1
MOCK_0h_Cell_07,2,0.604705271,MOCK,R1
MOCK_0h_Cell_08,2,0.839115329,MOCK,R1
MOCK_0h_Cell_09,2,0.766102888,MOCK,R1
MOCK_0h_Cell_10,2,1.64476315,MOCK,R1
MOCK_0h_Cell_11,2,0.903697486,MOCK,R1
MOCK_0h_Cell_12,2,1.132167037,MOCK,R1
MOCK_0h_Cell_13,2,0.972467956,MOCK,R1
MOCK_0h_Cell_14,2,1.001588179,MOCK,R1
MOCK_0h_Cell_15,2,0.963094126,MOCK,R1
MOCK_0h_Cell_16,2,1.084694797,MOCK,R1
MOCK_0h_Cell_17,2,1.079401277,MOCK,R1
MOCK_0h_Cell_18,2,0.778178951,MOCK,R1
MOCK_0h_Cell_19,2,1.100437997,MOCK,R1
MOCK_0h_Cell_20,2,0.669860707,MOCK,R1
MOCK_0h_Cell_21,2,0.867501904,MOCK,R1
MOCK_0h_Cell_22,2,0.969295692,MOCK,R1
MOCK_0h_Cell_23,2,0.808017558,MOCK,R1
MOCK_0h_Cell_24,2,0.912490844,MOCK,R1
MOCK_0h_Cell_25,2,0.651252224,MOCK,R1
MOCK_0h_Cell_26,2,0.886584426,MOCK,R1
MOCK_0h_Cell_27,2,0.765110059,MOCK,R1
MOCK_0h_Cell_28,2,0.971850909,MOCK,R1
MOCK_0h_Cell_29,2,0.727074463,MOCK,R1
MOCK_0h_Cell_30,2,1.452045146,MOCK,R1
MOCK_0h_Cell_31,2,2.061007917,MOCK,R1
MOCK_0h_Cell_32,2,1.551071101,MOCK,R1
MOCK_0h_Cell_33,2,0.738701571,MOCK,R1
MOCK_0h_Cell_34,2,1.238862787,MOCK,R1
MOCK_0h_Cell_35,2,1.512016607,MOCK,R1
MOCK_0h_Cell_36,2,1.549930063,MOCK,R1
MOCK_0h_Cell_37,2,1.853996389,MOCK,R1
MOCK_0h_Cell_38,2,1.449067073,MOCK,R1
MOCK_0h_Cell_39,2,1.68257995,MOCK,R1
MOCK_0h_Cell_40,2,0.680956564,MOCK,R1
MOCK_0h_Cell_41,2,0.998881998,MOCK,R1
MOCK_0h_Cell_42,2,0.755288247,MOCK,R1
MOCK_0h_Cell_43,2,1.735896358,MOCK,R1
MOCK_0h_Cell_44,2,1.245246959,MOCK,R1
MOCK_0h_Cell_45,2,1.199716894,MOCK,R1
MOCK_0h_Cell_46,2,1.267334945,MOCK,R1
MOCK_0h_Cell_47,2,1.298070645,MOCK,R1
